"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"TOLERANCE";
"R103.4";"0R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R121.1";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R151.1";"24k9";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R151.2";"24k9";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R151.3";"24k9";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R151.4";"24k9";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R152.2";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R152.3";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R152.4";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R153.1";"120";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R153.2";"120";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R153.3";"120";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R153.4";"120";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R154A";"100k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R154B";"100k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R155A";"15K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R156B";"DNP";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R157";"4k7";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R158";"100k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R159";"4k7";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R160";"100k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R301";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R302";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R303";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R306";"DNP";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R321.1";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R321.2";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R322.1";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R322.2";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R326.1";"4k99";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R326.2";"4k99";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R351.1";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R351.2";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R351.3";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R351.4";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R352.1";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R352.2";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R352.3";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R352.4";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R353.1";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R353.2";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R353.3";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R353.4";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R354.1";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R354.2";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R354.3";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R354.4";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"R355.1";"22R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"R0805";"0.1%";
"R355.2";"22R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"R0805";"0.1%";
"R355.3";"22R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"R0805";"0.1%";
"R355.4";"22R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"R0805";"0.1%";
"R601.1";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R601.2";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R601.3";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"R601.4";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"S1";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";"";"";
"S11";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";"";"";
"S351.2";"SS_ESP101";"SS_ESP101";"SS_ESP101";"";"";"";"";"";"";"";
"S351.3";"SS_ESP101";"SS_ESP101";"SS_ESP101";"";"";"";"";"";"";"";
"S351.4";"SS_ESP101";"SS_ESP101";"SS_ESP101";"";"";"";"";"";"";"";
"T151";"BSS138PS";"BSS138PS";"SOT363_PHILIPS";"BSS138PS  Dual N-CH MOSFET 60V, 320mA, 280mW, SOT363";"";"";"";"";"SOT-363";"";
"TP1";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP3";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP4";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP5";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP6";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP7";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP8";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP9";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP10";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP11";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP12";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP17";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP18";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP19";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP20";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP21";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP22";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP23";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP24";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP103.1";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP103.2";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP103.3";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP103.4";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP104.1";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP104.2";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP104.3";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP104.4";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP105.1";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP105.2";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP105.3";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP105.4";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP106.1";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP106.2";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP106.3";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP106.4";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP107.1";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP107.2";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP107.3";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP107.4";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP151.1";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP151.2";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP151.3";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP151.4";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP152.1";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP152.2";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP152.3";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP152.4";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP153";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP153.1";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP153.2";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP153.3";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP153.4";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP154";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP301";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP302";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP303";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP304";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP305";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";
"TP306";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP321.1";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP321.2";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP322.1";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP322.2";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP351.1";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP351.2";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP351.3";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP351.4";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP352.1";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP352.2";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP352.3";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP352.4";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP353.1";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP353.2";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP353.3";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP353.4";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP354.2";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP354.3";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP354.4";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP355.1";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP355.2";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP355.3";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP355.4";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"TP9354.1";"TPC90";"TPC90";"C90";"";"";"";"";"";"";"";
"U11";"NUCLEO_F103_BOT";"NUCLEO_F103_BOT";"NUCLEO_BRD64_LOWER";"";"";"";"";"";"";"";
"U121.1";"W25Q128JV";"W25Q80BVSSIG";"SO08W";"";"";"";"";"";"";"";
"X101.1";"BU-SMA-GSPECIAL";"BU-SMA-GSPECIAL";"BU_SMA_3P";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";
"X101.2";"BU-SMA-GSPECIAL";"BU-SMA-GSPECIAL";"BU_SMA_3P";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";
"X101.3";"BU-SMA-GSPECIAL";"BU-SMA-GSPECIAL";"BU_SMA_3P";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";
"X101.4";"BU-SMA-GSPECIAL";"BU-SMA-GSPECIAL";"BU_SMA_3P";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";
"X601";"";"MPT4";"4POL254";"PHOENIX CONNECTOR";"";"";"";"";"";"";
"X602";"";"MPT4";"4POL254";"PHOENIX CONNECTOR";"";"";"";"";"";"";
